scientific_name	matched_level	matched_name	matched_taxon_title	image_uuid	attribution	license	svg_file	png_file
Struthio camelus	species	Struthio camelus	Struthio camelus	14ddbf4d-7749-4153-bbe1-8d0c6ffdf142	Matt Martyniuk (vectorized by T. Michael Keesey)	https://creativecommons.org/licenses/by-sa/3.0/	Struthio_camelus.svg	Struthio_camelus.png
Apteryx rowi	genus	Apteryx	Apteryx	ad7d0f80-889e-4dba-a89d-c864f2f48184	Steven Traver	https://creativecommons.org/publicdomain/zero/1.0/	Apteryx_rowi.svg	Apteryx_rowi.png
Rhea americana	species	Rhea americana	Rhea americana	83097107-2510-44e4-b899-273362c7ca62	Darren Naish (vectorize by T. Michael Keesey)	https://creativecommons.org/licenses/by/3.0/	Rhea_americana.svg	Rhea_americana.png
Tinamus major	species	Tinamus major	Tinamus major	c8a2a294-252e-49f0-91a4-9ec4cae5d044	George Edward Lodge	https://creativecommons.org/publicdomain/mark/1.0/	Tinamus_major.svg	Tinamus_major.png
Gallus gallus	species	Gallus gallus	Gallus gallus	aff847b0-ecbd-4d41-98ce-665921a6d96e	Steven Traver	https://creativecommons.org/publicdomain/zero/1.0/	Gallus_gallus.svg	Gallus_gallus.png
Meleagris gallopavo	species	Meleagris gallopavo	Meleagris gallopavo	101ad9ab-dae8-442f-b102-8109b02b2a69	T. Michael Keesey	https://creativecommons.org/publicdomain/zero/1.0/	Meleagris_gallopavo.svg	Meleagris_gallopavo.png
Coturnix japonica	species	Coturnix japonica	Coturnix japonica	85bdbe81-9c4f-49ab-a75b-f8b621a9d28e	Matías Muñoz	https://creativecommons.org/publicdomain/zero/1.0/	Coturnix_japonica.svg	Coturnix_japonica.png
Anas platyrhynchos	species	Anas platyrhynchos	Anas platyrhynchos	3ceaa22b-8879-4545-9e32-425010f33cd4	Maija Karala	https://creativecommons.org/licenses/by-nc-sa/3.0/	Anas_platyrhynchos.svg	Anas_platyrhynchos.png
Anser cygnoides	genus	Anser	Anser	0c03eac4-f4ac-4df7-86f2-6653634de0b4	Rebecca Groom	https://creativecommons.org/licenses/by/3.0/	Anser_cygnoides.svg	Anser_cygnoides.png
Columba livia	species	Columba livia	Columba livia	93124ce1-73c9-4278-bfd4-a29886bc7ca7	Steven Traver	https://creativecommons.org/publicdomain/zero/1.0/	Columba_livia.svg	Columba_livia.png
Phoenicopterus ruber	species	Phoenicopterus ruber	Phoenicopterus ruber	28473411-c079-4654-bbb7-34a5615bb414		https://creativecommons.org/publicdomain/mark/1.0/	Phoenicopterus_ruber.svg	Phoenicopterus_ruber.png
Podiceps cristatus	species	Podiceps cristatus	Podiceps cristatus	deba1d91-daa8-40a6-8d48-7a9f295bc662	Ferran Sayol	https://creativecommons.org/publicdomain/zero/1.0/	Podiceps_cristatus.svg	Podiceps_cristatus.png
Apus apus	species	Apus apus	Apus apus	3e6b9118-7aff-4b64-8c95-38b2ee49d922	Ferran Sayol	https://creativecommons.org/publicdomain/zero/1.0/	Apus_apus.svg	Apus_apus.png
Lophornis magnificus	order	Apodiformes	Apodiformes	508c7b5d-efe4-4491-b690-a4fb5dd0463f	Jerry Oldenettel (vectorized by T. Michael Keesey)	https://creativecommons.org/licenses/by-nc-sa/3.0/	Lophornis_magnificus.svg	Lophornis_magnificus.png
Eudynamys scolopaceus	order	Cuculiformes	Cuculidae	61ddd908-b19d-4769-a1b3-0243d4b13431	Nicolas Huet le Jeune and Jean-Gabriel Prêtre (vectorized by T. Michael Keesey)	https://creativecommons.org/publicdomain/mark/1.0/	Eudynamys_scolopaceus.svg	Eudynamys_scolopaceus.png
Grus japonensis	species	Grus japonensis	Grus japonensis	82b7a983-7e1c-4c4a-b1d6-307e00e75fa1	Kai Caspar	https://creativecommons.org/publicdomain/zero/1.0/	Grus_japonensis.svg	Grus_japonensis.png
Rissa tridactyla	species	Rissa tridactyla	Rissa tridactyla	bdaa6989-7904-4349-8f9b-a1e6b399e2af	Andy Wilson	https://creativecommons.org/publicdomain/zero/1.0/	Rissa_tridactyla.svg	Rissa_tridactyla.png
Macronectes giganteus	genus	Macronectes	Macronectes	deb35243-40b4-42ae-b538-846d72e4ec98	Alexandre Vong	https://creativecommons.org/publicdomain/zero/1.0/	Macronectes_giganteus.svg	Macronectes_giganteus.png
Aptenodytes forsteri	species	Aptenodytes forsteri	Aptenodytes forsteri	ef997bb0-14d8-4da3-abd1-25eab0d5eb61	Neil Kelley	https://creativecommons.org/licenses/by-nc-sa/3.0/	Aptenodytes_forsteri.svg	Aptenodytes_forsteri.png
Phalacrocorax carbo	species	Phalacrocorax carbo	Phalacrocorax carbo	21a3420c-8d7a-4bd2-8ff7-b89fe7f5add5	Ferran Sayol	https://creativecommons.org/publicdomain/zero/1.0/	Phalacrocorax_carbo.svg	Phalacrocorax_carbo.png
Ardea cinerea	species	Ardea cinerea	Ardea cinerea	9b0855e1-4ca1-44e4-939a-d8d20c80cbce	Rebecca Groom	https://creativecommons.org/licenses/by/3.0/	Ardea_cinerea.svg	Ardea_cinerea.png
Haliaeetus albicilla	species	Haliaeetus albicilla	Haliaeetus albicilla	03f9b904-8e7d-4b81-a9f8-070e6768e24e	Mathieu Pélissié	https://creativecommons.org/licenses/by-nc-sa/3.0/	Haliaeetus_albicilla.svg	Haliaeetus_albicilla.png
Bubo bubo	species	Bubo bubo	Bubo bubo	debc4910-7742-42ac-a782-4c449fd1e882	Lukasiniho	https://creativecommons.org/licenses/by-nc-sa/3.0/	Bubo_bubo.svg	Bubo_bubo.png
Picoides pubescens	genus	Picoides	Picoides	d06e801f-665b-4bda-bbe5-345c9eb6ba0c	Gareth Monger	https://creativecommons.org/licenses/by/3.0/	Picoides_pubescens.svg	Picoides_pubescens.png
Halcyon pileata	genus	Halcyon	Halcyon	6f44acf9-2c04-4ab6-ac44-66125e225679	Andy Wilson	https://creativecommons.org/publicdomain/zero/1.0/	Halcyon_pileata.svg	Halcyon_pileata.png
Falco peregrinus	species	Falco peregrinus	Falco peregrinus	6cebf754-cb71-448d-a5bb-947157205264	Liftarn	https://creativecommons.org/licenses/by-sa/3.0/	Falco_peregrinus.svg	Falco_peregrinus.png
Melopsittacus undulatus	species	Melopsittacus undulatus	Melopsittacus undulatus	93400ea7-5b4c-4d5f-92ae-2345f228df08	Matías Muñoz	https://creativecommons.org/publicdomain/zero/1.0/	Melopsittacus_undulatus.svg	Melopsittacus_undulatus.png
Taeniopygia guttata	species	Taeniopygia guttata	Taeniopygia guttata	7bf8ca33-0fef-4985-a4d4-a147bff6e98c	Andy Wilson	https://creativecommons.org/publicdomain/zero/1.0/	Taeniopygia_guttata.svg	Taeniopygia_guttata.png
Corvus brachyrhynchos	species	Corvus brachyrhynchos	Corvus (brachyrhynchos)	2db31c7c-b0a9-460f-807e-da9181f21cf6	Peileppe	https://creativecommons.org/publicdomain/zero/1.0/	Corvus_brachyrhynchos.svg	Corvus_brachyrhynchos.png
Parus major	genus	Parus	Parus	dfdfb59e-8126-44e1-a7a9-1bf698113e1c	Ferran Sayol	https://creativecommons.org/publicdomain/zero/1.0/	Parus_major.svg	Parus_major.png
Alligator mississippiensis	species	Alligator mississippiensis	Alligator mississippiensis	eefc0a4d-24b5-4c91-b687-8bd28c414295	Ferran Sayol	https://creativecommons.org/publicdomain/zero/1.0/	Alligator_mississippiensis.svg	Alligator_mississippiensis.png
